id,editorial
790,Godsfield Press Ltd
791,Gold Eagle
792,Golden Books
793,Golden Gryphon Press
794,Golden/Disney
795,Goldmann
796,Goldmann Verlag
797,Gollancz
798,Gollehon Books
799,Gotham
800,Grafton
801,Gramedia Pustaka Utama
802,Gramercy
803,Gramercy Books
804,Grand Central
805,Grand Central Life & Style
806,Grand Central Publishing (Formerly Warner Books)
807,Granta
808,Granta Books
809,Granta UK
810,Graphics Press
811,Graphics Press LLC
812,Grasset
813,Graywolf Press
814,Green Integer
815,Green Ronin Publishing
816,Greenery Press (CA)
817,Greenwillow Books
818,Greenwood
819,Greenwood Press
820,Griffin
821,Grijalbo
822,Grijalbo Mondadori Sa
823,Grosset & Dunlap
824,Grove Press
825,Grove Press  Black Cat
826,Grove Press  Granta
827,Grove Press  Open City Books
828,Grove Press (NYC)
829,Grove Weidenfeld
830,Grove/Atlantic  Inc.
831,Grupo Editorial Norma  S.A.
832,Grupo Océano
833,Gun Digest Books
834,Gurze Books
835,Gürze Books
836,Hachette
837,Hachette Books
838,Hachette Children's
839,Hachette Jeunesse
840,Hachette Littérature
841,Hackett Publ. Co Inc
842,Hackett Publishing Company
843,Hackett Publishing Company  Inc.
844,Hackett Publishing Company  Inc. (USA)
845,Hackett Publishing Company (Indianapolis  IN)
846,Hakusen Sha
847,Hal Leonard Pub Corp
848,Hal Leonard Publishing Corporation
849,Hamish hamilton
850,Hamish Hamilton
851,Hamish Hamilton Ltd
852,Hampton Roads Publishing Company
853,Harbor Press
854,Harcourt
855,Harcourt  Brace  Jovanovich
856,Harcourt  Brace Jovanovich/Harvest
857,Harcourt  Inc.(Harvest Book)
858,Harcourt Brace
859,Harcourt Brace & company
860,Harcourt Brace & Company
861,Harcourt Brace Jovanovich
862,Harcourt Brace Jovanovich (NY)
863,Harcourt Children's Books
864,Hard Crime Case
865,Hard Press
866,Harlequin
867,Harlequin American Romance
868,Harlequin Anthologies
869,Harlequin Blaze
870,Harlequin Books
871,Harlequin Historical
872,Harlequin Presents
873,Harlequin Readers' Choice
874,Harlequin Romance
875,Harlequin Special Releases
876,Harlequin Superromance
877,Harlequin Temptation
878,Harmony
879,Harper
880,Harper & Row
881,Harper & Row (NYC et al.)
882,Harper Audio
883,Harper Business
884,Harper Collins
885,Harper Design
886,Harper Element
887,Harper Paperbacks
888,Harper Perennial
889,Harper Perennial (HarperCollins)
890,Harper Perennial (NYC)
891,Harper Perennial Classics
892,Harper Perennial Modern Classics
893,Harper Teen
894,Harper Trophy
895,Harper Voyager
896,HarperAudio
897,HarperCollins
898,Harpercollins
899,HarperCollins (SanFrancisco)
900,Harpercollins Children's Books
901,Harpercollins Childrens Books
902,HarperCollins Espanol
903,HarperCollins Leadership
904,HarperCollins Perennial
905,HarperCollins Publishers
906,HarperCollins Publishers  Inc.
907,HarperCollins Publishers Ltd
908,HarperCollins UK
909,HarperCollinsChildren’sBooks
910,HarperCollinsPublishers
911,HarperEntertainment
912,HarperFestival
913,HarperLargePrint
914,HarperOne
915,HarperPaperbacks
916,HarperPerennial
917,HarperPerennial / Perennial Classics
918,HarperPrism
919,HarperResource
920,HarperSanFrancisco
921,HarperTeen
922,HarperTempest
923,HarperTorch
924,HarperTorch (an imprint of HarperCollins Publishers)
925,HarperTrophy
926,HarperVoyager
927,Harpperen
928,Harrison House
929,Harry N. Abrams
930,Hartley & Marks Publishers
931,Hartorch
932,Harvard Business Review Press
933,Harvard Common Press
934,Harvard University Press
935,Harvard University Press (Cambridge  MA)/Wm Heinemann Ltd. (London)
936,Harvard University Press (Cambridge)
937,Harvest / Harcourt
938,Harvest Books
939,Harvest Books/Harcourt
940,Harvest House Publishers
941,Harvill Press
942,Haus Publishing
943,Hawthorne Books
944,Hay House
945,Haymarket Books
946,Haynes Manuals N. America  Inc.
947,Hazelden Publishing
948,Hci
949,Headline
950,Headline Book Pub Ltd
951,Headline Book Publishing
952,Headline Feature
953,Headline Review
954,Healing Arts Press
955,Health Communications
956,Health Communications Inc
957,Hearst Communications
958,Heinemann
959,Heinemann Drama
960,Heinemann Educational Books
961,Heinemann Library
962,Heinemann-Octopus
963,Heinle
964,Helen Marx Books
965,Henry Holt
966,Henry Holt & Company
967,Henry Holt and Co.
968,Henry Holt and Co. (BYR)
969,Henry Holt and Company
970,Here's Life Publishers
971,Hesperus Press
972,Heyne
973,High Point Media
974,High Roads Media
975,Highbridge Audio
976,HighBridge Company
977,Hill & Wang
978,Hill & Wang Publ. (NY)
979,Hill and Wang
980,Hiperión
981,History Press Ltd
982,HJ Kramer
983,HMH Books for Young Readers
984,Hodder
985,Hodder & Stoughton
986,Hodder & Stoughton Educational Division
987,Hodder & Stoughton Ltd
988,Hodder and Stoughton
989,Hodder Audio
990,Hodder Children's Books
991,Hodder Mobius
992,Hodder Wayland
993,Holiday House
994,Holloway House
995,Holt  Rinehart and Winston  Inc.
996,Holt McDougal
997,Holt Paperbacks
998,Honor Books
999,Houghton Mifflin
1000,Houghton Mifflin Co. (Boston/NY)
1001,Houghton Mifflin Company
1002,Houghton Mifflin Harcourt
1003,Houghton Mifflin Harcourt P
1004,Houghton Mifflin/Seymour Lawrence
1005,House of Anansi Press
1006,House of Stratus
1007,Hovel Audio
1008,Howard Books
1009,Howard Publishing Co
1010,Howard University Press
1011,HQN
1012,Hqn
1013,HQN Books
1014,Hub City Press
1015,Hungry Minds
1016,Huntington House Publishers
1017,Hyperio
1018,Hyperion
1019,Hyperion Books
1020,Hyperion Books for Children
1021,Hyperion Paperbacks
1022,iBooks
1023,Icon Books
1024,IDW Publishing
1025,Ig Publishing
1026,Ignatius Press
1027,Image
1028,Image Comics
1029,Impact
1030,Imprint Academic
1031,Indiana University Press
1032,Indigo
1033,IndyPublish.com
1034,Inkling Books
1035,Inner City Books
1036,Inner Light - Global Communications
1037,Inner Traditions
1038,Inner Traditions International
1039,Insel
1040,Insel  Frankfurt
1041,Insight International
1042,Inter Varsity Press
1043,Inter-Varsity Press
1044,Intercultural Publishing
1045,Interlink Publishing Group
1046,International Code Council
1047,International Polygonics
1048,International Publishers
1049,International Publishers (NYC)
1050,InterVarsity Press
1051,Island
1052,Island Books
1053,Island Press
1054,It Books
1055,iUniverse
1056,Ivan R. Dee
1057,Ivan R. Dee  Publisher
1058,Ivan R. Dee Publisher
1059,IVP Academic
1060,IVP Books
1061,Ivy Books
1062,J'ai Lu
1063,J'ai lu
1064,J'AI LU
1065,Jane Nissen Books
1066,Jessica Kingsley Publishers
1067,Jimmy Patterson
1068,Joanna Cotler Books
1069,Joanna Cotler Books/HarperCollinsPublishers
1070,John F. Blair  Publisher
1071,John Wiley
1072,John Wiley & Sons
1073,Johns Hopkins University Press
1074,Johnson Publishing Company (IL)
1075,Jonathan Cape
1076,Jones & Bartlett Publishers
1077,Jones Books
1078,Joshua Odell Editions
1079,Jossey-Bass
1080,Jove Books
1081,Julia MacRae
1082,Julie Andrews Collection
1083,Jump at the Sun
1084,Jump At The Sun
1085,K.G. Saur Verlag
1086,Kabel  Verlag GmbH Ernst
1087,Kaplan
1088,Kaplan Publishing
1089,Keep It Simple Books
1090,Kensington
1091,Kensington Publishing Corporation
1092,Kent State University Press
1093,Kent State University Press (OH)
1094,Kessinger Publishing
1095,Kids Can Press
1096,Kiepenheuer & Witsch
1097,Kindle
1098,Kingfisher
1099,KiWi
1100,Klett
1101,Klincksieck
1102,Knopf
1103,Knopf Books for Young Readers
1104,Knopf Doubleday Publishing Group
1105,Knopf Publishing Group
1106,Knowledge Products
1107,Kodansha
1108,Kodansha America
1109,Kodansha International
1110,Konemann
1111,Krause Publications
1112,Kregel Academic & Professional
1113,Kregel Publications
1114,Kuperard
1115,Kyle Books
1116,L.A. Weekly Books
1117,l'ecole des loisirs
1118,La factoría de ideas
1119,Laffont
1120,Lama Foundation (San Cristobal  NM)
1121,Lantern Books
1122,Large Print Press
1123,Lark Books
1124,Larousse
1125,Larousse Kingfisher Chambers
1126,Lasser Press
1127,Laurel
1128,Laurel Leaf
1129,Laurel Leaf Books
1130,Laurel Leaf Library
1131,Laurel Press
1132,Laurel-Leaf Books
1133,Lawbook Exchange  Ltd.
1134,Lawrence Hill Books
1135,Le Livre de Poche
1136,Learning Matters
1137,Lectorum
1138,Lectorum Publications
1139,Leete's Island Books
1140,Legend
1141,Leisure
1142,Leisure Books
1143,Lerner Publications
1144,Let's Go Publications
1145,LGF
1146,Libraries Unlimited
1147,Library of America
1148,Library of America (NY)
1149,Library of American Comics
1150,Library of Liberal Arts/Bobb-Merrill (Indianapolis  IN)
1151,Libros para ninos
1152,Liguori Publications
1153,Limelight
1154,Limelight Editions
1155,Limitless Corporation
1156,Lions
1157,Lippincott Williams & Wilkins
1158,List
1159,List Taschenbuch
1160,Listening Library
1161,Listening Library (Audio)
1162,Literatura Random House
1163,Little  Brown
1164,Little  Brown & Company
1165,Little  Brown & Company (Boston/Toronto)
1166,Little  Brown and Company
1167,Little  Brown Book Group
1168,Little  Brown Books for Young Readers
1169,Little  Brown Young Readers
1170,Little Apple
1171,Little Bookroom
